artist_id,artist_name,artist_name_normalized
art_7b10d97435b1,George Clinton & The P-Funk All Stars,george clinton & the p-funk all stars
art_2086531e6342,George Clinton & The P-Funk Allstars,george clinton & the p-funk allstars
art_b9885f4ceb75,George Clinton / Parliament / Funkadelic,george clinton / parliament / funkadelic
art_43193261dfd1,George Clinton and Parliament Funkadelic,george clinton and parliament funkadelic
art_bdb2d1b4d62a,George Clinton and the P-Funk All Stars,george clinton and the p-funk all stars
art_86dc1e35e5ca,George Clinton and The P-Funk All-Stars,george clinton and the p-funk all-stars
art_40c4cc7b6102,George Clinton Parliament Funkadelic,george clinton parliament funkadelic
art_a9aff59bf599,George Clinton's Family Series Volume 2,george clinton's family series volume 2
art_210d24ae6098,"George Clinton's Family Series Volume 2, Bootsy Collins","george clinton's family series volume 2, bootsy collins"
art_32d728e7b021,"George Clinton's Family Series Volume 2, Brides Of Funkenstein","george clinton's family series volume 2, brides of funkenstein"
art_529fb3618cf0,"George Clinton's Family Series Volume 2, Funkadelic","george clinton's family series volume 2, funkadelic"
art_9302d76e9733,"George Clinton's Family Series Volume 2, Gary Fabulous & Black Slack","george clinton's family series volume 2, gary fabulous & black slack"
art_21e53438205d,"George Clinton's Family Series Volume 2, George Clinton","george clinton's family series volume 2, george clinton"
art_873ae6d8ae85,"George Clinton's Family Series Volume 2, Jerome & Jimmy Ali","george clinton's family series volume 2, jerome & jimmy ali"
art_86386aa7fcf2,"George Clinton's Family Series Volume 2, Jessica Cleaves","george clinton's family series volume 2, jessica cleaves"
art_ac4f55d8ca4b,"George Clinton's Family Series Volume 2, Jimmy G","george clinton's family series volume 2, jimmy g"
art_40ac00238528,"George Clinton's Family Series Volume 2, Parlet & Brides of Funkenstein","george clinton's family series volume 2, parlet & brides of funkenstein"
art_207467fd6bb0,"George Clinton's Family Series Volume 2, Parliament","george clinton's family series volume 2, parliament"
art_5f1d442725a5,"George Clinton's Family Series Volume 2, Ron Ford","george clinton's family series volume 2, ron ford"
art_cc9a2676670e,"George Clinton's Family Series Volume 2, Sly Stone","george clinton's family series volume 2, sly stone"
art_97d6f3929ea6,"George Clinton's Family Series Volume 2, Traylewd","george clinton's family series volume 2, traylewd"
art_d2771bf75804,"George Clinton, Brides Of Funkenstein","george clinton, brides of funkenstein"
art_68c5d26932c8,"George Clinton, Flo","george clinton, flo"
