work_id,artist_id,artist_name,work_name
wrk_84c649273a8d,art_a6288c3d74f9,Bernie Worrell,Judie's Passion Purple
wrk_3b8c965f30bf,art_a6288c3d74f9,Bernie Worrell,Light On Water
wrk_09297606e2f6,art_a6288c3d74f9,Bernie Worrell,Live @ Frontier Ranch
wrk_03aac2020a41,art_a6288c3d74f9,Bernie Worrell,Live At Lynagh's
wrk_feafb9847a7b,art_a6288c3d74f9,Bernie Worrell,Moon Over Brixton
wrk_29f4dc242022,art_a6288c3d74f9,Bernie Worrell,Mothership Connection
wrk_8059ca4efcf3,art_a6288c3d74f9,Bernie Worrell,Much Thrust
wrk_9f9938f5c7ba,art_a6288c3d74f9,Bernie Worrell,Noodling
wrk_26928aa32fb4,art_a6288c3d74f9,Bernie Worrell,Ooh Child
wrk_aa34957f177d,art_a6288c3d74f9,Bernie Worrell,Outer Spaceways Inc.
wrk_19422f459120,art_a6288c3d74f9,Bernie Worrell,Pedro WOO (feat. Mike Watt)
wrk_40bfb0765907,art_a6288c3d74f9,Bernie Worrell,Phantom Sound Clash Cut-Up Method: Two
wrk_b4290a0ecb09,art_a6288c3d74f9,Bernie Worrell,Pieces Of Woo: The Other Side
wrk_79ef8710351c,art_a6288c3d74f9,Bernie Worrell,Purple Snow
wrk_5de936c62129,art_a6288c3d74f9,Bernie Worrell,Re-Enter Black Light (Entersection)
wrk_3c1258160995,art_a6288c3d74f9,Bernie Worrell,Re-Enter Black Light (Phase II) (feat. Sean Ono Lennon)
wrk_3ed51e899fdd,art_a6288c3d74f9,Bernie Worrell,Real Life Dreams
wrk_7fb873f72473,art_a6288c3d74f9,Bernie Worrell,Real Life Dreams On
wrk_d5fd349a6d4e,art_a6288c3d74f9,Bernie Worrell,Realm Of Sight
wrk_1f503cfae701,art_a6288c3d74f9,Bernie Worrell,Red Hot Mama
wrk_0407d8d50862,art_a6288c3d74f9,Bernie Worrell,Redemption Song
wrk_f88ac9b1b300,art_a6288c3d74f9,Bernie Worrell,Reprise: Much Thrust
wrk_abd0e84cf083,art_a6288c3d74f9,Bernie Worrell,Retrospectives
wrk_46309b5d2f0e,art_a6288c3d74f9,Bernie Worrell,Revelation In Black Light
wrk_5a8394ff844a,art_a6288c3d74f9,Bernie Worrell,Samba Pa Ti
wrk_961cc1f1f1ce,art_a6288c3d74f9,Bernie Worrell,Set The Tone/Victory
wrk_9d535042deb1,art_a6288c3d74f9,Bernie Worrell,Sing
wrk_86bbd77bb186,art_a6288c3d74f9,Bernie Worrell,Sir Nose D'VoidofFunk
wrk_22f499f9747b,art_a6288c3d74f9,Bernie Worrell,Soldiers Of The Stars (feat. Daru Jones & Eric McFadden)
wrk_f689447ace6d,art_a6288c3d74f9,Bernie Worrell,Straight Ahead
wrk_fc0c6bcdc56c,art_a6288c3d74f9,Bernie Worrell,Super Stupid
wrk_eb65204e9ae9,art_a6288c3d74f9,Bernie Worrell,The Big WOO (feat. Fred Schneider)
wrk_2d9f1cdb535a,art_a6288c3d74f9,Bernie Worrell,The Landing
wrk_d5f87558e461,art_a6288c3d74f9,Bernie Worrell,The Mask
wrk_7ad34d382c62,art_a6288c3d74f9,Bernie Worrell,The Moment
wrk_7b81c9ed0e54,art_a6288c3d74f9,Bernie Worrell,The Vision
wrk_4654cc493159,art_a6288c3d74f9,Bernie Worrell,Thug
wrk_4cd8f88bd225,art_a6288c3d74f9,Bernie Worrell,Time Was (Events in the Elsewhere)
wrk_e92e30c84c39,art_a6288c3d74f9,Bernie Worrell,Transcendence (feat. Marc Ribot & Norwood Fisher)
wrk_7b17b0bcd32d,art_a6288c3d74f9,Bernie Worrell,Undisco Kid
wrk_6003923de004,art_a6288c3d74f9,Bernie Worrell,Volunteered Slavery
wrk_dd441aa450b0,art_a6288c3d74f9,Bernie Worrell,Volunteered Slavery/Bern's Blues/Outer Spaceways
wrk_30a17b0d318d,art_a6288c3d74f9,Bernie Worrell,Wake Up
wrk_c749c3202f1d,art_a6288c3d74f9,Bernie Worrell,Warriors Off to WOO
wrk_71b2fdabcb0c,art_a6288c3d74f9,Bernie Worrell,Wave From The WOOniverse
wrk_7d7563d34d97,art_a6288c3d74f9,Bernie Worrell,Wave From The WOOniverse (feat. Miho Hatori)
wrk_e51b61b8d4cb,art_a6288c3d74f9,Bernie Worrell,What Have They Done To My Funk (feat. Bootsy Collins & Buckethead)
wrk_e3c292d8d239,art_a6288c3d74f9,Bernie Worrell,When The Rain Subsides (feat. Will Calhoun)
wrk_7a3979531277,art_a6288c3d74f9,Bernie Worrell,Wings
wrk_d93870872318,art_a6288c3d74f9,Bernie Worrell,Witness For The Defense
wrk_56a6e68bdfc8,art_a6288c3d74f9,Bernie Worrell,Won't Go Away
wrk_43d679068cfe,art_a6288c3d74f9,Bernie Worrell,"WOO Awakens, The Wizard Cometh"
wrk_ee2f96d3e2b0,art_a6288c3d74f9,Bernie Worrell,Woo Together
wrk_3de3c248d2cc,art_a6288c3d74f9,Bernie Worrell,X-Factor
wrk_0022f3da02e0,art_a6288c3d74f9,Bernie Worrell,Y-Spy
wrk_f1818055e341,art_a6288c3d74f9,Bernie Worrell,You Hit The Nail On The Head
wrk_effeb190186a,art_8e4b4e9d5d4d,Bill Laswell,
wrk_5edf1d07375a,art_8e4b4e9d5d4d,Bill Laswell,Angel Eyes
wrk_cb1242f43cef,art_8e4b4e9d5d4d,Bill Laswell,Blue
wrk_6bc53e25d515,art_8e4b4e9d5d4d,Bill Laswell,Cottontail
wrk_a03742e39001,art_8e4b4e9d5d4d,Bill Laswell,Fade
wrk_1158275507bc,art_8e4b4e9d5d4d,Bill Laswell,I'm Gone
wrk_cd46493cc4c1,art_8e4b4e9d5d4d,Bill Laswell,Jazzonia
